euler, , , , rk2, , , , rk4 , , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
0.02, -1.6989700043360187, 0.0024588353712580173, -2.6092705480191793,0.02, -1.6989700043360187, 1.7183960927167693E-5, -4.764876723476742,0.02, -1.6989700043360187, 4.9706135827859534E-11, -10.303589997751516
0.022222222222222223, -1.6532125137753437, 0.002736144164240818, -2.562861023879981,0.022222222222222223, -1.6532125137753437, 2.1226057109916747E-5, -4.673130671610684,0.022222222222222223, -1.6532125137753437, 7.611352674685924E-11, -10.118538154405805
0.025, -1.6020599913279623, 0.003083941508940929, -2.510893867516375,0.025, -1.6020599913279623, 2.6882147038725225E-5, -4.570536047752394,0.025, -1.6020599913279623, 1.2254333224208232E-10, -9.911710314352748
0.028571428571428574, -1.5440680443502757, 0.0035330095500075978, -2.451855188630822,0.028571428571428574, -1.5440680443502757, 3.514158725390723E-5, -4.454178626447858,0.028571428571428574, -1.5440680443502757, 2.1031128562167003E-10, -9.677137421789624
0.03333333333333333, -1.4771212547196624, 0.004135101025619825, -2.3835138756318073,0.03333333333333333, -1.4771212547196624, 4.788672262471524E-5, -4.319784885127098,0.03333333333333333, -1.4771212547196624, 3.9258313643917387E-10, -9.406068359623193
0.04, -1.3979400086720375, 0.004984454339475749, -2.3023823780394768,0.04, -1.3979400086720375, 6.906880282592909E-5, -4.160718071583238,0.04, -1.3979400086720375, 8.224486759843393E-10, -9.084891194207483
0.05, -1.3010299956639813, 0.006272615529132635, -2.202551331097011,0.05, -1.3010299956639813, 1.081850957519572E-4, -3.965832566202926,0.05, -1.3010299956639813, 2.0385769545862806E-9, -8.690672889646525
0.06666666666666667, -1.1760912590556813, 0.008457559607641841, -2.0727549326852723,0.06666666666666667, -1.1760912590556813, 1.9312782862103864E-4, -3.714155142348179,0.06666666666666667, -1.1760912590556813, 6.606705248261984E-9, -8.180015068385993
0.1, -1.0, 0.012972301623361902, -1.886982961954138,0.1, -1.0, 4.3824687770139284E-4, -3.35828116936283,0.1, -1.0, 3.516686219638676E-8, -7.453866380377636
0.2, -0.6989700043360187, 0.02772800708563062, -1.5570813436502864,0.2, -0.6989700043360187, 0.001801360801128489, -2.7443992920412557,0.2, -0.6989700043360187, 6.538679978405713E-7, -6.184509917724185
